id,home,away,part_of_competition,Time,Event,Outcome,Team,Club,Player,Goalkeeper,attendance,time (utc),date,year
237754.0,Colorado Rapids,LA Galaxy, Regular Season 2008,58',Christian Gomez powers the penalty kick with his right foot to the lower left corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,Colorado Rapids,Christian Gomez,Steve Cronin,18943,01:30,"Saturday, March 29",2008.0
237927.0,New York Red Bulls,Colorado Rapids, Regular Season 2008,34',Juan Pablo Angel places the penalty kick with his right foot to the lower right corner and scores!! The goalkeeper guessed correctly but could not stop the shot.,Goal,Home,New York Red Bulls,Juan Pablo Angel,Preston Burpo,14795,23:30,"Saturday, September 27",2008.0
237927.0,New York Red Bulls,Colorado Rapids, Regular Season 2008,45',Conor Casey places the penalty kick with his right foot to the lower right corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Away,Colorado Rapids,Conor Casey,Jon Conway,14795,23:30,"Saturday, September 27",2008.0
237932.0,FC Dallas,San Jose Earthquakes, Regular Season 2008,89',Kenny Cooper places the penalty kick with his right foot to the lower left corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,FC Dallas,Kenny Cooper,Joe Cannon,7103,01:00,"Thursday, October 2",2008.0
237938.0,Sporting Kansas City,Chicago Fire FC, Regular Season 2008,45'+1',Cuauhtemoc Blanco powers the penalty kick with his right foot to the upper right corner and scores!! The goalkeeper guessed correctly but could not stop the shot.,Goal,Away,Chicago Fire FC,Cuauhtemoc Blanco,Kevin Hartman,10385,19:00,"Sunday, October 5",2008.0
237941.0,FC Dallas,Toronto FC, Regular Season 2008,90'+3',Kenny Cooper places the penalty kick with his right foot to the lower right corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,FC Dallas,Kenny Cooper,Greg Sutton,14114,00:30,"Saturday, October 11",2008.0
237945.0,LA Galaxy,Colorado Rapids, Regular Season 2008,88',Thomas McManus places the penalty kick with his right foot to the lower left corner and scores!! The goalkeeper guessed correctly but could not stop the shot.,Goal,Away,Colorado Rapids,Thomas,Josh Saunders,27000,00:00,"Sunday, October 12",2008.0
237951.0,Chivas USA,Colorado Rapids, Regular Season 2008,85',Conor Casey places the penalty kick with his right foot to the lower right corner and scores!! The goalkeeper guessed correctly but could not stop the shot.,Goal,Away,Colorado Rapids,Conor Casey,Dan Kennedy,13427,19:00,"Sunday, October 19",2008.0
237919.0,Sporting Kansas City,Toronto FC, Regular Season 2008,63',Jack Jewsbury places the penalty kick with his right foot to the lower right corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,Sporting Kansas City,Jack Jewsbury,Greg Sutton,8270,00:00,"Saturday, September 20",2008.0
237954.0,New England Revolution,Sporting Kansas City, Regular Season 2008,28',Claudio Lopez powers the penalty kick with his left foot high through the middle and scores!! The goalkeeper was nowhere near the shot.,Goal,Away,Sporting Kansas City,Claudio Lopez,Matt Reis,16764,00:30,"Saturday, October 25",2008.0
237957.0,Chivas USA,Houston Dynamo, Regular Season 2008,52',Dwayne De Rosario places the penalty kick with his right foot to the lower left corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Away,Houston Dynamo,Dwayne De Rosario,Dan Kennedy,18165,02:30,"Saturday, October 25",2008.0
237958.0,LA Galaxy,FC Dallas, Regular Season 2008,79',Landon Donovan powers the penalty kick with his right foot to the lower right corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,LA Galaxy,Landon Donovan,Dario Sala,27000,19:00,"Sunday, October 26",2008.0
241514.0,New England Revolution,FC Dallas, Regular Season 2008,22',Steve Ralston places the penalty kick with his right foot to the lower right corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,New England Revolution,Steve Ralston,Ray Burse,54045,22:30,"Friday, June 6",2008.0
251772.0,Toronto FC,FC Dallas, Regular Season 2008,82',Kenny Cooper places the penalty kick with his right foot to the lower left corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Away,FC Dallas,Kenny Cooper,Greg Sutton,20247,20:00,"Sunday, August 3",2008.0
258359.0,Chivas USA,Real Salt Lake, Conference Semi-finals,31',Sacha Kljestan powers the penalty kick with his right foot to the upper right corner and scores!! The goalkeeper guessed correctly but could not stop the shot.,Goal,Home,Chivas USA,Sacha Kljestan,Nick Rimando,19265,03:30,"Saturday, November 8",2008.0
258360.0,Houston Dynamo,New York Red Bulls, Conference Semi-finals,36',Juan Pablo Angel powers the penalty kick with his right foot to the upper left corner and scores!! The goalkeeper guessed correctly but could not stop the shot.,Goal,Away,New York Red Bulls,Juan Pablo Angel,Pat Onstad,30053,20:00,"Sunday, November 9",2008.0
237937.0,Colorado Rapids,Houston Dynamo, Regular Season 2008,90'+5',Terry Cooke places the penalty kick with his right foot and sends it wide left. What a missed chance!,Missed,Home,Colorado Rapids,Terry Cooke,Pat Onstad,12496,01:30,"Saturday, October 4",2008.0
237956.0,San Jose Earthquakes,Toronto FC, Regular Season 2008,90'+1',Shea Salinas places the penalty kick with his right foot to the upper right corner and scores!! The goalkeeper guessed correctly but could not stop the shot.,Goal,Home,San Jose Earthquakes,Shea Salinas,Greg Sutton,10526,02:00,"Saturday, October 25",2008.0
237891.0,Columbus Crew SC,Real Salt Lake, Regular Season 2008,25',Guillermo Barros Schelotto places the penalty kick with his right foot to the lower right corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,Columbus Crew SC,Guillermo Barros Schelotto,Nick Rimando,12448,23:30,"Saturday, August 23",2008.0
237898.0,DC United,New York Red Bulls, Regular Season 2008,81',Jaime Moreno places the penalty kick with his right foot and sends it wide left. What a missed chance!,Missed,Home,DC United,Jaime Moreno,Jon Conway,15616,23:30,"Saturday, August 30",2008.0
237864.0,FC Dallas,Colorado Rapids, Regular Season 2008,49',Kenny Cooper places the penalty kick with his right foot to the lower right corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,FC Dallas,Kenny Cooper,Bouna Coundoul,12289,00:30,"Saturday, July 19",2008.0
237879.0,Sporting Kansas City,Chivas USA, Regular Season 2008,72',Carey Talley powers the penalty kick with his right foot to the lower left corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Away,Chivas USA,Carey Talley,Kevin Hartman,9597,00:00,"Saturday, August 9",2008.0
237756.0,Chicago Fire FC,New England Revolution, Regular Season 2008,36',Cuauhtemoc Blanco places the penalty kick with his right foot to the upper left corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,Chicago Fire FC,Cuauhtemoc Blanco,Matt Reis,15553,00:00,"Thursday, April 3",2008.0
237763.0,Sporting Kansas City,New England Revolution, Regular Season 2008,28',Jack Jewsbury places the penalty kick with his right foot to the lower right corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,Sporting Kansas City,Jack Jewsbury,Matt Reis,8096,00:00,"Wednesday, April 9",2008.0
237770.0,LA Galaxy,Toronto FC, Regular Season 2008,58',Landon Donovan powers the penalty kick with his right foot to the lower left corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,LA Galaxy,Landon Donovan,Greg Sutton,20426,19:00,"Sunday, April 13",2008.0
237781.0,DC United,Real Salt Lake, Regular Season 2008,31',Jaime Moreno places the penalty kick with his right foot high through the middle and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,DC United,Jaime Moreno,Nick Rimando,23269,23:30,"Saturday, April 26",2008.0
237781.0,DC United,Real Salt Lake, Regular Season 2008,52',Jaime Moreno powers the penalty kick with his right foot to the upper left corner and scores!! The goalkeeper guessed correctly but could not stop the shot.,Goal,Home,DC United,Jaime Moreno,Nick Rimando,23269,23:30,"Saturday, April 26",2008.0
237784.0,New York Red Bulls,San Jose Earthquakes, Regular Season 2008,79',Mike Magee powers the penalty kick with his right foot high through the middle and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,New York Red Bulls,Mike Magee,Joe Cannon,9053,19:00,"Sunday, April 27",2008.0
237786.0,Columbus Crew SC,Sporting Kansas City, Regular Season 2008,79',Claudio Lopez powers the penalty kick with his left foot low through the middle and scores!! The goalkeeper was nowhere near the shot.,Goal,Away,Sporting Kansas City,Claudio Lopez,Will Hesmer,10447,23:30,"Saturday, May 3",2008.0
237765.0,Columbus Crew SC,Chivas USA, Regular Season 2008,27',Guillermo Barros Schelotto powers the penalty kick with his right foot low through the middle and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,Columbus Crew SC,Guillermo Barros Schelotto,Brad Guzan,6733,23:30,"Saturday, April 12",2008.0
237807.0,DC United,Toronto FC, Regular Season 2008,70',Jaime Moreno powers the penalty kick with his right foot to the lower right corner and scores!! The goalkeeper was nowhere near the shot.,Goal,Home,DC United,Jaime Moreno,Greg Sutton,18647,23:30,"Saturday, May 24",2008.0
237811.0,LA Galaxy,Sporting Kansas City, Regular Season 2008,56',Landon Donovan places the penalty kick with his right foot to the upper left corner and scores!! The goalkeeper guessed correctly but could not stop the shot.,Goal,Home,LA Galaxy,Landon Donovan,Kevin Hartman,24716,02:30,"Saturday, May 24",2008.0
237812.0,New York Red Bulls,Chicago Fire FC, Regular Season 2008,54',Cuauhtemoc Blanco places the penalty kick with his right foot low through the middle and scores!! The goalkeeper was nowhere near the shot.,Goal,Away,Chicago Fire FC,Cuauhtemoc Blanco,Jon Conway,14754,19:00,"Sunday, May 25",2008.0
